user_id,sexo,idade,pais,tipo_assinatura,tempo_uso,musicas_por_dia,taxa_pulo,dispositivo,anuncios_semana,escuta_offline,cancelamento
1,Feminino,54,CA,Gratuito,26,23,0.2,Desktop,31,0,1
2,Feminino,33,DE,Familia,141,62,0.34,Web,0,1,0
3,Masculino,38,AU,Premium,199,38,0.04,Mobile,0,1,1
4,Feminino,22,CA,Estudante,36,2,0.31,Mobile,0,1,0
5,Feminino,29,US,Familia,250,57,0.36,Mobile,0,1,1
6,Feminino,17,AU,Gratuito,219,35,0.46,Desktop,13,0,0
7,Feminino,39,UK,Premium,289,44,0.38,Desktop,0,1,0
8,Feminino,41,UK,Gratuito,210,68,0.11,Mobile,5,0,0
9,Feminino,55,DE,Estudante,50,66,0.29,Web,0,1,0
10,Masculino,44,DE,Gratuito,278,94,0.38,Mobile,44,0,0
11,Feminino,33,DE,Gratuito,86,44,0.11,Web,37,0,0
12,Feminino,24,CA,Gratuito,113,24,0.56,Desktop,39,0,1
13,Feminino,37,IN,Familia,24,86,0.11,Desktop,0,1,0
14,Feminino,53,US,Premium,45,47,0.6,Web,0,1,0
15,Feminino,37,IN,Familia,114,13,0.44,Web,0,1,1
16,Masculino,25,FR,Estudante,230,25,0.26,Desktop,0,1,0
17,Feminino,36,DE,Estudante,181,93,0.23,Mobile,0,1,0
18,Masculino,58,US,Familia,120,8,0.41,Desktop,0,1,0
19,Feminino,34,DE,Familia,160,32,0.35,Mobile,0,1,0
20,Masculino,35,UK,Estudante,281,51,0.35,Desktop,0,1,0
21,Feminino,33,AU,Estudante,138,60,0.6,Web,0,1,0
22,Masculino,49,AU,Premium,20,7,0.45,Desktop,0,1,0
23,Feminino,45,PK,Familia,138,95,0.1,Desktop,0,1,0
24,Masculino,44,CA,Familia,134,97,0.42,Web,0,1,0
25,Feminino,32,CA,Premium,133,22,0.59,Desktop,0,1,0
26,Feminino,19,US,Estudante,39,29,0.53,Desktop,0,1,0
27,Masculino,28,IN,Gratuito,293,67,0.33,Mobile,23,0,1
28,Feminino,58,FR,Gratuito,15,55,0.3,Mobile,35,0,0
29,Masculino,33,FR,Gratuito,123,13,0.22,Desktop,7,0,0
30,Feminino,22,FR,Premium,18,12,0.39,Mobile,0,1,0
31,Feminino,44,UK,Premium,149,45,0.22,Web,0,1,0
32,Masculino,53,US,Estudante,72,12,0.17,Web,0,1,0
33,Feminino,49,IN,Premium,291,74,0.11,Mobile,0,1,0
34,Masculino,49,US,Familia,147,52,0.43,Web,0,1,0
35,Feminino,55,FR,Premium,18,2,0.04,Mobile,0,1,0
36,Feminino,24,DE,Gratuito,59,53,0.18,Web,28,0,1
37,Masculino,22,DE,Estudante,280,99,0.29,Desktop,0,1,0
38,Feminino,50,US,Familia,117,98,0.04,Mobile,0,1,0
39,Feminino,42,DE,Familia,47,59,0.06,Desktop,0,1,0
40,Masculino,17,DE,Familia,260,44,0.5,Desktop,0,1,1
41,Feminino,51,UK,Premium,122,16,0.54,Desktop,0,1,0
42,Feminino,46,US,Estudante,255,14,0.39,Desktop,0,1,0
43,Masculino,22,DE,Familia,49,39,0.51,Mobile,0,1,0
44,Masculino,37,DE,Familia,90,89,0.4,Mobile,0,1,0
45,Masculino,39,PK,Familia,288,69,0.48,Web,0,1,0
46,Feminino,18,PK,Premium,255,3,0.39,Web,0,1,0
47,Feminino,56,CA,Estudante,255,75,0.58,Desktop,0,1,0
48,Masculino,58,US,Familia,26,23,0.08,Mobile,0,1,0
49,Feminino,59,US,Familia,238,60,0.29,Desktop,0,1,0
50,Masculino,50,PK,Gratuito,241,7,0.56,Desktop,22,0,1
51,Feminino,45,CA,Premium,124,98,0.36,Desktop,0,1,0
52,Feminino,56,FR,Premium,175,67,0.38,Web,0,1,0
53,Feminino,38,AU,Gratuito,41,3,0.0,Desktop,43,0,1
54,Masculino,57,DE,Gratuito,222,96,0.26,Web,15,0,0
55,Feminino,46,UK,Familia,121,71,0.32,Desktop,0,1,0
56,Feminino,41,IN,Familia,277,2,0.59,Web,0,1,0
57,Feminino,19,IN,Gratuito,107,82,0.11,Desktop,12,0,1
58,Masculino,48,FR,Estudante,198,63,0.23,Desktop,0,1,0
59,Feminino,22,DE,Gratuito,59,51,0.42,Desktop,19,0,0
60,Feminino,17,IN,Estudante,95,79,0.53,Web,0,1,1
61,Feminino,25,UK,Premium,262,23,0.17,Web,0,1,0
62,Feminino,49,PK,Estudante,169,26,0.56,Mobile,0,1,0
63,Feminino,59,IN,Gratuito,25,32,0.2,Mobile,38,0,0
64,Feminino,45,CA,Familia,55,67,0.51,Mobile,0,1,1
65,Masculino,45,IN,Estudante,161,42,0.4,Desktop,0,1,1
66,Feminino,21,FR,Familia,77,42,0.56,Web,0,1,0
67,Masculino,45,DE,Gratuito,152,32,0.49,Mobile,14,0,1
68,Feminino,45,UK,Gratuito,156,51,0.14,Desktop,18,0,0
69,Feminino,22,AU,Estudante,99,43,0.17,Desktop,0,1,0
70,Feminino,56,US,Gratuito,181,40,0.21,Mobile,10,0,0
71,Feminino,51,AU,Estudante,265,81,0.36,Web,0,1,0
72,Feminino,22,AU,Familia,131,70,0.35,Web,0,1,0
73,Feminino,33,CA,Estudante,19,68,0.32,Desktop,0,1,1
74,Feminino,59,AU,Familia,201,15,0.05,Mobile,0,1,0
75,Masculino,41,DE,Familia,223,53,0.33,Web,0,1,0
76,Masculino,25,UK,Premium,111,83,0.19,Desktop,0,1,0
